city_id,entity_qid,lon,lat
accra,Q3761,-0.1969,5.55602
adelaide,Q5112,138.6,-34.9275
ahmedabad,Q1070,72.57972222222222,23.021944444444443
amman,Q3805,35.933333333333,31.95
auckland,Q37100,174.76527777777778,-36.84916666666667
bangkok,Q1861,100.51666666667,13.75
bengaluru,Q1355,77.5912997,12.9791198
berlin,Q64,13.383333333333,52.516666666667
brisbane,Q34932,153.02777777778,-27.467777777778
buenos_aires,Q1486,-58.381944444444,-34.599722222222
cape_town,Q5465,18.42388888888889,-33.92527777777778
chicago,Q1297,-87.62777777777778,41.88194444444444
colombo,Q35381,79.86055555555555,6.926666666666667
dakar,Q3718,-17.432,14.672555555555556
delhi,Q1353,77.216666666667,28.666666666667
dhaka,Q1354,90.39444444444445,23.72888888888889
doha,Q3861,51.529444444444444,25.28611111111111
dubai,Q612,55.309444444444,25.269722222222
houston,Q16555,-95.383055555556,29.762777777778
istanbul,Q406,28.960277777778,41.01
jakarta,Q3630,106.82694444444445,-6.175277777777778
johannesburg,Q34647,28.041638888889,-26.204361111111
kolkata,Q1348,88.37,22.5675
kuala_lumpur,Q1865,101.69527777778,3.1477777777778
lagos,Q8673,3.3936111111111114,6.456111111111111
lima,Q2868,-77.0375,-12.06
london,Q84,-0.1275,51.507222222222
los_angeles,Q65,-118.24368,34.05223
lyon,Q456,4.835,45.7675
medellin,Q48278,-75.56758450069736,6.250200154878975
melbourne,Q3141,144.96305555555554,-37.814166666666665
mexico_city,Q1489,-99.13589,19.353773
mumbai,Q1156,72.8775,19.075833333333332
muscat,Q3826,58.592222222222,23.613888888889
nairobi,Q3870,36.817222222222,-1.2863888888889
new_york,Q60,-74.00611111111111,40.71277777777778
paris,Q90,2.352222222222222,48.85666666666667
perth,Q3183,115.85972222222222,-31.955833333333334
phoenix,Q16556,-112.07388888888889,33.44833333333333
rio_de_janeiro,Q8678,-43.205555555555556,-22.91111111111111
rome,Q220,12.482777777778,41.893055555556
sao_paulo,Q174,-46.633947222222,-23.550394444444
seoul,Q8684,126.99,37.56
singapore,Q334,103.8,1.3
sydney,Q3130,151.21,-33.867777777777775
tokyo,Q1490,139.69166666666666,35.68944444444445
toronto,Q172,-79.386666666667,43.670277777778
tunis,Q3572,10.18,36.800833333333
valparaiso,Q33986,-71.61972222222222,-33.04611111111111
warsaw,Q270,21.011111111111113,52.23
